group_name,session,feature,scenario,step,line_number,step_duration,timestamp,step_result,step_type
,0-Feature,Feature: Verify Environment,Scenario: Perform File Import,If I verify file Utilities/Base/Import Utilities.feature ($new_import_file) exists,307,7,1675400418507,True,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Perform File Import,Then I import scenarios from Utilities/Base/Import Utilities.feature ($new_import_file),308,249,1675400418517,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Perform File Import,"And I assign ""TRUE"" to variable ""file_imported""",309,1,1675400418768,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Perform File Import,"And I increase variable ""import_loop""",311,0,1675400418770,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Perform File Import,"While I assign 2 ($import_loop) th item from "","" delimited list Base,Custom ($feature_load_path) to variable ""directory""",304,1,1675400418772,True,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Perform File Import,"Given I assign variable ""directory_token"" by combining ""/"" Custom ($directory) ""/""",305,1,1675400418774,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Perform File Import,"Given I execute Groovy ""new_import_file = import_file.replaceAll('/-/', directory_token).replaceAll('\\\\-\\\\', directory_token)""",306,50,1675400418776,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Perform File Import,If I verify file Utilities/Custom/Import Utilities.feature ($new_import_file) exists,307,3,1675400418829,False,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Perform File Import,"And I increase variable ""import_loop""",311,1,1675400418832,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Perform File Import,"While I assign 3 ($import_loop) th item from "","" delimited list Base,Custom ($feature_load_path) to variable ""directory""",304,0,1675400418834,False,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Perform File Import,"Then I ""confirm a file was found and imported""",314,0,1675400418835,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Perform File Import,"If I verify text TRUE ($file_imported) is equal to ""FALSE""",315,0,1675400418838,False,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Perform File Import,"And I ""cleanup the working variables""",320,1,1675400418839,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Perform File Import,"Then I unassign variable ""new_import_file""",321,0,1675400418841,Pass,SCENARIO_STEP
